instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,Date,Date_Integer
233,10-01-2011,1,0,1,23,False,1,1,0.14,232,0.1515,0.59,0.1642,0,18,18,2011-01-10,10012011
234,11-01-2011,1,0,1,0,False,2,1,0.14,233,0.1667,0.59,0.1045,2,10,12,2011-01-11,11012011
235,11-01-2011,1,0,1,1,False,2,1,0.14,234,0.1515,0.59,0.1642,0,3,3,2011-01-11,11012011
236,11-01-2011,1,0,1,2,False,2,2,0.16,235,0.1515,0.55,0.194,0,3,3,2011-01-11,11012011
237,11-01-2011,1,0,1,5,False,2,2,0.16,236,0.1818,0.55,0.1343,0,6,6,2011-01-11,11012011
238,11-01-2011,1,0,1,6,False,2,2,0.16,237,0.1818,0.55,0.1343,0,27,27,2011-01-11,11012011
239,11-01-2011,1,0,1,7,False,2,2,0.16,238,0.2273,0.55,0.0,2,97,99,2011-01-11,11012011
240,11-01-2011,1,0,1,8,False,2,2,0.18,239,0.2121,0.51,0.0896,3,214,217,2011-01-11,11012011
241,11-01-2011,1,0,1,9,False,2,2,0.18,240,0.197,0.51,0.1642,3,127,130,2011-01-11,11012011
242,11-01-2011,1,0,1,10,False,2,2,0.2,241,0.2121,0.51,0.1642,3,51,54,2011-01-11,11012011
243,11-01-2011,1,0,1,11,False,2,2,0.2,242,0.2121,0.47,0.1343,4,31,35,2011-01-11,11012011
244,11-01-2011,1,0,1,12,False,2,2,0.2,243,0.2273,0.51,0.1045,2,55,57,2011-01-11,11012011
245,11-01-2011,1,0,1,13,False,2,2,0.2,244,0.2273,0.59,0.0896,6,46,52,2011-01-11,11012011
246,11-01-2011,1,0,1,14,False,2,2,0.2,245,0.2273,0.59,0.0896,3,60,63,2011-01-11,11012011
247,11-01-2011,1,0,1,15,False,2,2,0.16,246,0.197,0.8,0.0896,2,45,47,2011-01-11,11012011
248,11-01-2011,1,0,1,16,False,2,2,0.16,247,0.1515,0.86,0.2239,4,72,76,2011-01-11,11012011
249,11-01-2011,1,0,1,17,False,2,2,0.16,248,0.1515,0.86,0.2239,6,130,136,2011-01-11,11012011
250,11-01-2011,1,0,1,18,False,2,3,0.16,249,0.1818,0.93,0.1045,1,94,95,2011-01-11,11012011
251,11-01-2011,1,0,1,19,False,2,3,0.16,250,0.2273,0.93,0.0,0,51,51,2011-01-11,11012011
252,11-01-2011,1,0,1,20,False,2,3,0.16,251,0.1515,0.93,0.194,0,32,32,2011-01-11,11012011
253,11-01-2011,1,0,1,21,False,2,3,0.16,252,0.197,0.86,0.0896,0,20,20,2011-01-11,11012011
254,11-01-2011,1,0,1,22,False,2,3,0.16,253,0.1818,0.93,0.1045,1,28,29,2011-01-11,11012011
255,11-01-2011,1,0,1,23,False,2,3,0.16,254,0.197,0.93,0.0896,1,18,19,2011-01-11,11012011
256,12-01-2011,1,0,1,0,False,3,2,0.16,255,0.197,0.86,0.0896,0,7,7,2011-01-12,12012011
257,12-01-2011,1,0,1,1,False,3,2,0.16,256,0.1818,0.86,0.1045,0,6,6,2011-01-12,12012011
258,12-01-2011,1,0,1,2,False,3,1,0.14,257,0.1515,0.86,0.1343,0,1,1,2011-01-12,12012011
259,12-01-2011,1,0,1,5,False,3,1,0.14,258,0.1515,0.86,0.1642,0,5,5,2011-01-12,12012011
260,12-01-2011,1,0,1,6,False,3,1,0.12,259,0.1515,0.93,0.1343,0,16,16,2011-01-12,12012011
261,12-01-2011,1,0,1,7,False,3,1,0.14,260,0.1515,0.69,0.1343,0,54,54,2011-01-12,12012011
262,12-01-2011,1,0,1,8,False,3,1,0.16,261,0.1667,0.59,0.1642,3,125,128,2011-01-12,12012011
263,12-01-2011,1,0,1,9,False,3,1,0.16,262,0.1364,0.59,0.3284,3,78,81,2011-01-12,12012011
264,12-01-2011,1,0,1,10,False,3,1,0.18,263,0.1818,0.55,0.2239,0,39,39,2011-01-12,12012011
265,12-01-2011,1,0,1,11,False,3,1,0.2,264,0.1818,0.51,0.3881,3,32,35,2011-01-12,12012011
266,12-01-2011,1,0,1,12,False,3,1,0.2,265,0.1515,0.47,0.5821,3,52,55,2011-01-12,12012011
267,12-01-2011,1,0,1,13,False,3,1,0.22,266,0.197,0.44,0.3582,0,49,49,2011-01-12,12012011
268,12-01-2011,1,0,1,14,False,3,1,0.2,267,0.1818,0.47,0.3284,0,44,44,2011-01-12,12012011
269,12-01-2011,1,0,1,15,False,3,1,0.2,268,0.1667,0.47,0.4179,1,48,49,2011-01-12,12012011
270,12-01-2011,1,0,1,16,False,3,1,0.22,269,0.197,0.44,0.3284,5,63,68,2011-01-12,12012011
271,12-01-2011,1,0,1,17,False,3,1,0.2,270,0.1818,0.47,0.3582,0,139,139,2011-01-12,12012011
272,12-01-2011,1,0,1,18,False,3,1,0.2,271,0.1515,0.47,0.5224,2,135,137,2011-01-12,12012011
273,12-01-2011,1,0,1,19,False,3,1,0.18,272,0.1515,0.47,0.4179,1,82,83,2011-01-12,12012011
274,12-01-2011,1,0,1,20,False,3,1,0.16,273,0.1364,0.5,0.3284,2,54,56,2011-01-12,12012011
275,12-01-2011,1,0,1,21,False,3,1,0.16,274,0.1364,0.55,0.3284,0,57,57,2011-01-12,12012011
276,12-01-2011,1,0,1,22,False,3,1,0.16,275,0.1212,0.55,0.4478,1,32,33,2011-01-12,12012011
277,12-01-2011,1,0,1,23,False,3,1,0.14,276,0.1061,0.59,0.4179,1,19,20,2011-01-12,12012011
278,13-01-2011,1,0,1,0,False,4,1,0.14,277,0.1212,0.59,0.2836,1,6,7,2011-01-13,13012011
279,13-01-2011,1,0,1,1,False,4,1,0.14,278,0.1212,0.5,0.2836,0,2,2,2011-01-13,13012011
280,13-01-2011,1,0,1,2,False,4,1,0.14,279,0.1212,0.5,0.3582,0,2,2,2011-01-13,13012011
281,13-01-2011,1,0,1,3,False,4,1,0.14,280,0.1212,0.5,0.3284,0,3,3,2011-01-13,13012011
282,13-01-2011,1,0,1,4,False,4,1,0.14,281,0.1212,0.5,0.2537,0,4,4,2011-01-13,13012011
283,13-01-2011,1,0,1,5,False,4,1,0.14,282,0.1212,0.5,0.2985,0,3,3,2011-01-13,13012011
284,13-01-2011,1,0,1,6,False,4,1,0.12,283,0.1515,0.54,0.1343,0,28,28,2011-01-13,13012011
285,13-01-2011,1,0,1,7,False,4,1,0.12,284,0.1515,0.54,0.1343,0,72,72,2011-01-13,13012011
286,13-01-2011,1,0,1,8,False,4,1,0.14,285,0.1364,0.5,0.194,5,197,202,2011-01-13,13012011
287,13-01-2011,1,0,1,9,False,4,1,0.14,286,0.1212,0.5,0.3284,2,137,139,2011-01-13,13012011
288,13-01-2011,1,0,1,10,False,4,2,0.16,287,0.1364,0.5,0.3582,2,36,38,2011-01-13,13012011
289,13-01-2011,1,0,1,11,False,4,2,0.2,288,0.1667,0.44,0.4478,4,33,37,2011-01-13,13012011
290,13-01-2011,1,0,1,12,False,4,1,0.2,289,0.1667,0.44,0.4179,3,49,52,2011-01-13,13012011
291,13-01-2011,1,0,1,13,False,4,1,0.22,290,0.197,0.41,0.4478,2,81,83,2011-01-13,13012011
292,13-01-2011,1,0,1,14,False,4,1,0.22,291,0.197,0.41,0.3881,3,39,42,2011-01-13,13012011
293,13-01-2011,1,0,1,15,False,4,1,0.24,292,0.2121,0.38,0.2985,5,55,60,2011-01-13,13012011
294,13-01-2011,1,0,1,16,False,4,1,0.24,293,0.2121,0.38,0.3582,2,76,78,2011-01-13,13012011
295,13-01-2011,1,0,1,17,False,4,1,0.2,294,0.1818,0.4,0.2836,4,158,162,2011-01-13,13012011
296,13-01-2011,1,0,1,18,False,4,1,0.2,295,0.1818,0.4,0.3284,3,141,144,2011-01-13,13012011
297,13-01-2011,1,0,1,19,False,4,1,0.16,296,0.1515,0.47,0.2537,1,98,99,2011-01-13,13012011
298,13-01-2011,1,0,1,20,False,4,1,0.16,297,0.1515,0.47,0.2239,0,64,64,2011-01-13,13012011
299,13-01-2011,1,0,1,21,False,4,1,0.14,298,0.1212,0.46,0.2985,0,40,40,2011-01-13,13012011
300,13-01-2011,1,0,1,22,False,4,1,0.14,299,0.1212,0.46,0.3284,0,30,30,2011-01-13,13012011
301,13-01-2011,1,0,1,23,False,4,1,0.12,300,0.1364,0.5,0.194,1,14,15,2011-01-13,13012011
302,14-01-2011,1,0,1,0,False,5,1,0.12,301,0.1364,0.5,0.194,0,14,14,2011-01-14,14012011
303,14-01-2011,1,0,1,1,False,5,1,0.1,302,0.1212,0.54,0.1642,0,5,5,2011-01-14,14012011
304,14-01-2011,1,0,1,2,False,5,1,0.1,303,0.1212,0.54,0.1343,0,1,1,2011-01-14,14012011
305,14-01-2011,1,0,1,3,False,5,1,0.1,304,0.1364,0.54,0.1045,0,1,1,2011-01-14,14012011
306,14-01-2011,1,0,1,5,False,5,1,0.1,305,0.1364,0.54,0.0896,0,8,8,2011-01-14,14012011
307,14-01-2011,1,0,1,6,False,5,1,0.1,306,0.1818,0.54,0.0,0,17,17,2011-01-14,14012011
308,14-01-2011,1,0,1,7,False,5,1,0.1,307,0.1212,0.74,0.1642,0,70,70,2011-01-14,14012011
309,14-01-2011,1,0,1,8,False,5,1,0.12,308,0.1667,0.68,0.0,2,156,158,2011-01-14,14012011
310,14-01-2011,1,0,1,9,False,5,1,0.14,309,0.1515,0.69,0.1343,0,117,117,2011-01-14,14012011
311,14-01-2011,1,0,1,10,False,5,1,0.18,310,0.1818,0.55,0.194,4,40,44,2011-01-14,14012011
312,14-01-2011,1,0,1,11,False,5,1,0.18,311,0.1667,0.51,0.2836,6,47,53,2011-01-14,14012011
313,14-01-2011,1,0,1,12,False,5,1,0.2,312,0.197,0.44,0.2537,2,59,61,2011-01-14,14012011
314,14-01-2011,1,0,1,13,False,5,1,0.22,313,0.197,0.37,0.3881,4,73,77,2011-01-14,14012011
315,14-01-2011,1,0,1,14,False,5,1,0.22,314,0.2121,0.41,0.2836,5,59,64,2011-01-14,14012011
316,14-01-2011,1,0,1,15,False,5,1,0.24,315,0.2424,0.38,0.1642,9,59,68,2011-01-14,14012011
317,14-01-2011,1,0,1,16,False,5,1,0.22,316,0.2424,0.41,0.1045,3,87,90,2011-01-14,14012011
318,14-01-2011,1,0,1,17,False,5,1,0.22,317,0.2273,0.41,0.1642,4,155,159,2011-01-14,14012011
319,14-01-2011,1,0,1,18,False,5,1,0.2,318,0.2576,0.47,0.0,5,134,139,2011-01-14,14012011
320,14-01-2011,1,0,1,19,False,5,1,0.16,319,0.197,0.59,0.0896,3,89,92,2011-01-14,14012011
321,14-01-2011,1,0,1,20,False,5,1,0.18,320,0.2424,0.59,0.0,0,68,68,2011-01-14,14012011
322,14-01-2011,1,0,1,21,False,5,1,0.16,321,0.2273,0.69,0.0,4,48,52,2011-01-14,14012011
323,14-01-2011,1,0,1,22,False,5,2,0.16,322,0.2273,0.69,0.0,2,34,36,2011-01-14,14012011
324,14-01-2011,1,0,1,23,False,5,2,0.18,323,0.2424,0.55,0.0,1,26,27,2011-01-14,14012011
325,15-01-2011,1,0,1,0,False,6,1,0.18,324,0.2424,0.55,0.0,3,25,28,2011-01-15,15012011
326,15-01-2011,1,0,1,1,False,6,2,0.16,325,0.197,0.59,0.0896,2,18,20,2011-01-15,15012011
327,15-01-2011,1,0,1,2,False,6,2,0.16,326,0.197,0.59,0.0896,0,12,12,2011-01-15,15012011
328,15-01-2011,1,0,1,3,False,6,2,0.16,327,0.2273,0.59,0.0,1,7,8,2011-01-15,15012011
329,15-01-2011,1,0,1,4,False,6,2,0.16,328,0.2273,0.59,0.0,0,5,5,2011-01-15,15012011
330,15-01-2011,1,0,1,5,False,6,1,0.16,329,0.2273,0.59,0.0,0,1,1,2011-01-15,15012011
331,15-01-2011,1,0,1,6,False,6,1,0.14,330,0.1667,0.63,0.1045,1,2,3,2011-01-15,15012011
332,15-01-2011,1,0,1,7,False,6,1,0.14,331,0.2121,0.63,0.0,1,9,10,2011-01-15,15012011
333,15-01-2011,1,0,1,8,False,6,1,0.14,332,0.1515,0.63,0.1343,1,22,23,2011-01-15,15012011
334,15-01-2011,1,0,1,9,False,6,1,0.16,333,0.1818,0.64,0.1343,2,31,33,2011-01-15,15012011
335,15-01-2011,1,0,1,10,False,6,1,0.18,334,0.197,0.59,0.1642,2,57,59,2011-01-15,15012011
336,15-01-2011,1,0,1,11,False,6,1,0.2,335,0.197,0.55,0.2239,18,54,72,2011-01-15,15012011
337,15-01-2011,1,0,1,12,False,6,1,0.24,336,0.2273,0.48,0.2239,15,74,89,2011-01-15,15012011
338,15-01-2011,1,0,1,13,False,6,1,0.28,337,0.2576,0.38,0.2985,21,80,101,2011-01-15,15012011
339,15-01-2011,1,0,1,14,False,6,1,0.3,338,0.2879,0.39,0.2836,26,92,118,2011-01-15,15012011
340,15-01-2011,1,0,1,15,False,6,2,0.32,339,0.3182,0.36,0.194,21,108,129,2011-01-15,15012011
341,15-01-2011,1,0,1,16,False,6,2,0.34,340,0.3333,0.34,0.194,33,95,128,2011-01-15,15012011
342,15-01-2011,1,0,1,17,False,6,2,0.32,341,0.303,0.36,0.2836,29,54,83,2011-01-15,15012011
343,15-01-2011,1,0,1,18,False,6,2,0.3,342,0.2879,0.45,0.2537,15,69,84,2011-01-15,15012011
344,15-01-2011,1,0,1,19,False,6,2,0.32,343,0.303,0.39,0.2537,14,60,74,2011-01-15,15012011
345,15-01-2011,1,0,1,20,False,6,2,0.32,344,0.303,0.39,0.2537,6,35,41,2011-01-15,15012011
346,15-01-2011,1,0,1,21,False,6,2,0.32,345,0.303,0.39,0.2239,6,51,57,2011-01-15,15012011
347,15-01-2011,1,0,1,22,False,6,2,0.3,346,0.3182,0.42,0.1045,0,26,26,2011-01-15,15012011
348,15-01-2011,1,0,1,23,False,6,1,0.3,347,0.2879,0.45,0.2836,5,39,44,2011-01-15,15012011
349,16-01-2011,1,0,1,0,False,0,1,0.26,348,0.303,0.56,0.0,6,33,39,2011-01-16,16012011
350,16-01-2011,1,0,1,1,False,0,1,0.26,349,0.2727,0.56,0.1343,4,19,23,2011-01-16,16012011
351,16-01-2011,1,0,1,2,False,0,1,0.26,350,0.2879,0.56,0.0896,3,13,16,2011-01-16,16012011
352,16-01-2011,1,0,1,3,False,0,1,0.22,351,0.2727,0.69,0.0,9,6,15,2011-01-16,16012011
353,16-01-2011,1,0,1,4,False,0,1,0.26,352,0.2576,0.56,0.1642,0,1,1,2011-01-16,16012011
354,16-01-2011,1,0,1,5,False,0,2,0.26,353,0.2576,0.56,0.1642,1,1,2,2011-01-16,16012011
355,16-01-2011,1,0,1,6,False,0,2,0.26,354,0.2576,0.56,0.1642,0,1,1,2011-01-16,16012011
356,16-01-2011,1,0,1,7,False,0,2,0.24,355,0.2121,0.56,0.2985,0,3,3,2011-01-16,16012011
357,16-01-2011,1,0,1,8,False,0,1,0.22,356,0.2121,0.55,0.2836,0,18,18,2011-01-16,16012011
358,16-01-2011,1,0,1,9,False,0,1,0.22,357,0.2121,0.51,0.2537,3,29,32,2011-01-16,16012011
359,16-01-2011,1,0,1,10,False,0,1,0.22,358,0.2121,0.51,0.2836,8,71,79,2011-01-16,16012011
360,16-01-2011,1,0,1,11,False,0,1,0.24,359,0.2273,0.44,0.2537,23,70,93,2011-01-16,16012011
361,16-01-2011,1,0,1,12,False,0,1,0.24,360,0.2121,0.41,0.2836,29,75,104,2011-01-16,16012011
362,16-01-2011,1,0,1,13,False,0,1,0.26,361,0.2273,0.35,0.2985,23,95,118,2011-01-16,16012011
363,16-01-2011,1,0,1,14,False,0,1,0.28,362,0.2727,0.36,0.2537,22,69,91,2011-01-16,16012011
364,16-01-2011,1,0,1,15,False,0,1,0.26,363,0.2424,0.38,0.2537,35,78,113,2011-01-16,16012011
365,16-01-2011,1,0,1,16,False,0,1,0.24,364,0.2273,0.38,0.2239,22,77,99,2011-01-16,16012011
366,16-01-2011,1,0,1,17,False,0,1,0.22,365,0.2121,0.37,0.2537,23,82,105,2011-01-16,16012011
367,16-01-2011,1,0,1,18,False,0,1,0.2,366,0.2121,0.4,0.1642,11,56,67,2011-01-16,16012011
368,16-01-2011,1,0,1,19,False,0,1,0.18,367,0.197,0.47,0.1343,14,47,61,2011-01-16,16012011
369,16-01-2011,1,0,1,20,False,0,1,0.18,368,0.197,0.47,0.1642,7,50,57,2011-01-16,16012011
370,16-01-2011,1,0,1,21,False,0,1,0.18,369,0.197,0.51,0.1642,6,22,28,2011-01-16,16012011
371,16-01-2011,1,0,1,22,False,0,2,0.2,370,0.2121,0.49,0.1343,2,19,21,2011-01-16,16012011
372,16-01-2011,1,0,1,23,False,0,2,0.2,371,0.2273,0.4,0.1045,0,18,18,2011-01-16,16012011
373,17-01-2011,1,0,1,0,True,1,2,0.2,372,0.197,0.47,0.2239,1,16,17,2011-01-17,17012011
374,17-01-2011,1,0,1,1,True,1,2,0.2,373,0.197,0.44,0.194,1,15,16,2011-01-17,17012011
375,17-01-2011,1,0,1,2,True,1,2,0.18,374,0.1667,0.43,0.2537,0,8,8,2011-01-17,17012011
376,17-01-2011,1,0,1,3,True,1,2,0.18,375,0.1818,0.43,0.194,0,2,2,2011-01-17,17012011
377,17-01-2011,1,0,1,4,True,1,2,0.18,376,0.197,0.43,0.1343,1,2,3,2011-01-17,17012011
378,17-01-2011,1,0,1,5,True,1,2,0.18,377,0.197,0.43,0.1642,0,1,1,2011-01-17,17012011
379,17-01-2011,1,0,1,6,True,1,2,0.18,378,0.1818,0.43,0.194,0,5,5,2011-01-17,17012011
380,17-01-2011,1,0,1,7,True,1,2,0.16,379,0.1818,0.5,0.1343,4,9,13,2011-01-17,17012011
381,17-01-2011,1,0,1,8,True,1,2,0.16,380,0.1515,0.47,0.2239,3,30,33,2011-01-17,17012011
382,17-01-2011,1,0,1,9,True,1,2,0.16,381,0.1515,0.47,0.2239,8,39,47,2011-01-17,17012011
383,17-01-2011,1,0,1,10,True,1,2,0.16,382,0.1515,0.5,0.2537,7,50,57,2011-01-17,17012011
384,17-01-2011,1,0,1,11,True,1,2,0.16,383,0.1515,0.55,0.194,9,55,64,2011-01-17,17012011
385,17-01-2011,1,0,1,12,True,1,2,0.18,384,0.197,0.47,0.1343,10,70,80,2011-01-17,17012011
386,17-01-2011,1,0,1,13,True,1,2,0.18,385,0.197,0.47,0.1343,13,80,93,2011-01-17,17012011
387,17-01-2011,1,0,1,14,True,1,2,0.18,386,0.2121,0.43,0.1045,12,74,86,2011-01-17,17012011
388,17-01-2011,1,0,1,15,True,1,2,0.2,387,0.2121,0.47,0.1642,21,72,93,2011-01-17,17012011
389,17-01-2011,1,0,1,16,True,1,2,0.2,388,0.2121,0.47,0.1642,6,76,82,2011-01-17,17012011
390,17-01-2011,1,0,1,17,True,1,1,0.2,389,0.197,0.51,0.194,4,67,71,2011-01-17,17012011
391,17-01-2011,1,0,1,18,True,1,2,0.18,390,0.1667,0.55,0.2537,7,85,92,2011-01-17,17012011
392,17-01-2011,1,0,1,19,True,1,3,0.18,391,0.1818,0.59,0.194,2,58,60,2011-01-17,17012011
393,17-01-2011,1,0,1,20,True,1,3,0.16,392,0.1515,0.8,0.194,4,29,33,2011-01-17,17012011
394,17-01-2011,1,0,1,21,True,1,3,0.16,393,0.1515,0.8,0.194,3,24,27,2011-01-17,17012011
395,17-01-2011,1,0,1,22,True,1,3,0.14,394,0.1212,0.93,0.2537,0,13,13,2011-01-17,17012011
396,17-01-2011,1,0,1,23,True,1,3,0.16,395,0.1364,0.86,0.2836,1,3,4,2011-01-17,17012011
397,18-01-2011,1,0,1,12,False,2,2,0.2,396,0.1818,0.86,0.3284,0,3,3,2011-01-18,18012011
398,18-01-2011,1,0,1,13,False,2,2,0.2,397,0.197,0.86,0.2239,0,22,22,2011-01-18,18012011
399,18-01-2011,1,0,1,14,False,2,2,0.22,398,0.2273,0.8,0.1642,2,26,28,2011-01-18,18012011
400,18-01-2011,1,0,1,15,False,2,2,0.22,399,0.2273,0.87,0.1642,3,32,35,2011-01-18,18012011
401,18-01-2011,1,0,1,16,False,2,2,0.22,400,0.2273,0.87,0.194,0,61,61,2011-01-18,18012011
402,18-01-2011,1,0,1,17,False,2,2,0.22,401,0.2273,0.82,0.194,1,124,125,2011-01-18,18012011
403,18-01-2011,1,0,1,18,False,2,2,0.22,402,0.2273,0.8,0.1642,1,132,133,2011-01-18,18012011
404,18-01-2011,1,0,1,19,False,2,2,0.22,403,0.2273,0.8,0.1343,1,98,99,2011-01-18,18012011
405,18-01-2011,1,0,1,20,False,2,2,0.22,404,0.2727,0.87,0.0,0,83,83,2011-01-18,18012011
406,18-01-2011,1,0,1,21,False,2,2,0.22,405,0.2424,0.93,0.1045,0,41,41,2011-01-18,18012011
407,18-01-2011,1,0,1,22,False,2,2,0.22,406,0.2576,0.93,0.0896,0,33,33,2011-01-18,18012011
408,18-01-2011,1,0,1,23,False,2,2,0.22,407,0.2727,0.93,0.0,1,19,20,2011-01-18,18012011
409,19-01-2011,1,0,1,0,False,3,2,0.22,408,0.2727,0.93,0.0,0,3,3,2011-01-19,19012011
410,19-01-2011,1,0,1,1,False,3,3,0.22,409,0.2273,0.93,0.1343,1,6,7,2011-01-19,19012011
411,19-01-2011,1,0,1,2,False,3,3,0.22,410,0.2273,0.93,0.1343,0,3,3,2011-01-19,19012011
412,19-01-2011,1,0,1,4,False,3,3,0.22,411,0.2273,0.93,0.1343,1,1,2,2011-01-19,19012011
413,19-01-2011,1,0,1,5,False,3,2,0.22,412,0.2576,0.93,0.0896,0,7,7,2011-01-19,19012011
414,19-01-2011,1,0,1,6,False,3,2,0.22,413,0.2576,0.93,0.0896,0,32,32,2011-01-19,19012011
415,19-01-2011,1,0,1,7,False,3,2,0.24,414,0.2576,0.92,0.1045,1,89,90,2011-01-19,19012011
416,19-01-2011,1,0,1,8,False,3,2,0.24,415,0.2576,0.93,0.1045,1,196,197,2011-01-19,19012011
417,19-01-2011,1,0,1,9,False,3,2,0.24,416,0.2576,0.93,0.1045,2,107,109,2011-01-19,19012011
418,19-01-2011,1,0,1,10,False,3,2,0.26,417,0.2727,0.93,0.1343,1,46,47,2011-01-19,19012011
419,19-01-2011,1,0,1,11,False,3,2,0.28,418,0.303,0.87,0.0896,5,47,52,2011-01-19,19012011
420,19-01-2011,1,0,1,12,False,3,2,0.3,419,0.3182,0.81,0.0896,5,65,70,2011-01-19,19012011
421,19-01-2011,1,0,1,13,False,3,1,0.4,420,0.4091,0.62,0.2836,11,67,78,2011-01-19,19012011
422,19-01-2011,1,0,1,14,False,3,1,0.4,421,0.4091,0.58,0.2537,7,68,75,2011-01-19,19012011
423,19-01-2011,1,0,1,15,False,3,1,0.4,422,0.4091,0.54,0.2836,4,78,82,2011-01-19,19012011
424,19-01-2011,1,0,1,16,False,3,1,0.38,423,0.3939,0.58,0.3881,10,94,104,2011-01-19,19012011
425,19-01-2011,1,0,1,17,False,3,1,0.36,424,0.3333,0.57,0.3284,7,190,197,2011-01-19,19012011
426,19-01-2011,1,0,1,18,False,3,1,0.34,425,0.3182,0.61,0.2836,5,156,161,2011-01-19,19012011
427,19-01-2011,1,0,1,19,False,3,1,0.32,426,0.2879,0.57,0.4179,4,108,112,2011-01-19,19012011
428,19-01-2011,1,0,1,20,False,3,1,0.32,427,0.303,0.49,0.2985,2,74,76,2011-01-19,19012011
429,19-01-2011,1,0,1,21,False,3,1,0.32,428,0.2879,0.49,0.4179,4,55,59,2011-01-19,19012011
430,19-01-2011,1,0,1,22,False,3,1,0.3,429,0.303,0.52,0.1642,6,53,59,2011-01-19,19012011
431,19-01-2011,1,0,1,23,False,3,1,0.3,430,0.2727,0.52,0.4627,1,27,28,2011-01-19,19012011
432,20-01-2011,1,0,1,0,False,4,1,0.26,431,0.2273,0.56,0.3881,5,8,13,2011-01-20,20012011
433,20-01-2011,1,0,1,1,False,4,1,0.26,432,0.2727,0.56,0.0,2,3,5,2011-01-20,20012011
434,20-01-2011,1,0,1,2,False,4,1,0.26,433,0.2727,0.56,0.0,0,2,2,2011-01-20,20012011
435,20-01-2011,1,0,1,3,False,4,1,0.26,434,0.2576,0.56,0.1642,0,1,1,2011-01-20,20012011
436,20-01-2011,1,0,1,4,False,4,1,0.26,435,0.2576,0.56,0.1642,0,1,1,2011-01-20,20012011
437,20-01-2011,1,0,1,5,False,4,1,0.24,436,0.2273,0.6,0.2239,0,6,6,2011-01-20,20012011
438,20-01-2011,1,0,1,6,False,4,1,0.22,437,0.2121,0.6,0.2239,0,35,35,2011-01-20,20012011
439,20-01-2011,1,0,1,7,False,4,1,0.22,438,0.2121,0.55,0.2239,1,100,101,2011-01-20,20012011
440,20-01-2011,1,0,1,8,False,4,1,0.22,439,0.2121,0.55,0.2836,2,247,249,2011-01-20,20012011
441,20-01-2011,1,0,1,9,False,4,2,0.24,440,0.2273,0.52,0.2239,3,140,143,2011-01-20,20012011
442,20-01-2011,1,0,1,10,False,4,1,0.26,441,0.2273,0.48,0.2985,1,56,57,2011-01-20,20012011
443,20-01-2011,1,0,1,11,False,4,2,0.28,442,0.2727,0.45,0.1642,5,63,68,2011-01-20,20012011
444,20-01-2011,1,0,1,12,False,4,2,0.3,443,0.3333,0.42,0.0,7,77,84,2011-01-20,20012011
445,20-01-2011,1,0,1,13,False,4,2,0.28,444,0.2879,0.45,0.1045,12,86,98,2011-01-20,20012011
446,20-01-2011,1,0,1,14,False,4,2,0.3,445,0.303,0.45,0.1343,6,75,81,2011-01-20,20012011
447,20-01-2011,1,0,1,15,False,4,2,0.32,446,0.3182,0.45,0.194,8,62,70,2011-01-20,20012011
448,20-01-2011,1,0,1,16,False,4,2,0.3,447,0.303,0.49,0.1343,8,83,91,2011-01-20,20012011
449,20-01-2011,1,0,1,17,False,4,2,0.3,448,0.3182,0.49,0.1045,8,207,215,2011-01-20,20012011
450,20-01-2011,1,0,1,18,False,4,2,0.26,449,0.2576,0.56,0.194,1,184,185,2011-01-20,20012011
451,20-01-2011,1,0,1,19,False,4,1,0.26,450,0.2273,0.56,0.3284,6,146,152,2011-01-20,20012011
452,20-01-2011,1,0,1,20,False,4,2,0.26,451,0.2424,0.6,0.2836,2,124,126,2011-01-20,20012011
453,20-01-2011,1,0,1,21,False,4,2,0.24,452,0.2273,0.6,0.2537,3,54,57,2011-01-20,20012011
454,20-01-2011,1,0,1,22,False,4,2,0.24,453,0.2121,0.65,0.2836,0,56,56,2011-01-20,20012011
455,20-01-2011,1,0,1,23,False,4,2,0.24,454,0.2121,0.65,0.3284,3,28,31,2011-01-20,20012011
456,21-01-2011,1,0,1,0,False,5,2,0.24,455,0.2273,0.7,0.2537,1,20,21,2011-01-21,21012011
457,21-01-2011,1,0,1,1,False,5,2,0.24,456,0.2273,0.7,0.2537,0,6,6,2011-01-21,21012011
458,21-01-2011,1,0,1,2,False,5,3,0.24,457,0.2424,0.75,0.1642,0,2,2,2011-01-21,21012011
459,21-01-2011,1,0,1,3,False,5,3,0.22,458,0.2121,0.8,0.2985,0,1,1,2011-01-21,21012011
460,21-01-2011,1,0,1,4,False,5,2,0.22,459,0.2576,0.87,0.0896,0,1,1,2011-01-21,21012011
461,21-01-2011,1,0,1,5,False,5,1,0.24,460,0.197,0.6,0.4179,1,4,5,2011-01-21,21012011
462,21-01-2011,1,0,1,6,False,5,1,0.22,461,0.2121,0.55,0.2537,0,27,27,2011-01-21,21012011
463,21-01-2011,1,0,1,7,False,5,1,0.2,462,0.1818,0.51,0.2836,2,66,68,2011-01-21,21012011
464,21-01-2011,1,0,1,8,False,5,1,0.2,463,0.1818,0.47,0.3284,7,210,217,2011-01-21,21012011
465,21-01-2011,1,0,1,9,False,5,1,0.2,464,0.1818,0.51,0.3582,7,159,166,2011-01-21,21012011
